Headline,Industry,College-Name-1,Degree-Name-1,Field-Of-Study-1,Activities-and-Societies-1,Activities-and-Societies--1,Job-Title-1,Company-Name-1,Dates-Employed-1,Employment-Duration-1,Location-1,College-Name-2,Degree-Name-2,Field-Of-Study-2,Activities-and-Societies-2,Activities-and-Societies--2,Job-Title-2,Company-Name-2,Dates-Employed-2,Employment-Duration-2,Location-2,College-Name-3,Degree-Name-3,Field-Of-Study-3,Activities-and-Societies-3,Activities-and-Societies--3,Job-Title-3,Company-Name-3,Dates-Employed-3,Employment-Duration-3,Location-3,College-Name-4,Degree-Name-4,Field-Of-Study-4,Activities-and-Societies-4,Activities-and-Societies--4,Job-Title-4,Company-Name-4,Dates-Employed-4,Employment-Duration-4,Location-4,College-Name-5,Degree-Name-5,Field-Of-Study-5,Activities-and-Societies-5,Activities-and-Societies--5,Job-Title-5,Company-Name-5,Dates-Employed-5,Employment-Duration-5,Location-5,College-Name-6,Degree-Name-6,Field-Of-Study-6,Activities-and-Societies-6,Activities-and-Societies--6,Job-Title-6,Company-Name-6,Dates-Employed-6,Employment-Duration-6,Location-6,skills
Fractional COO/CFO who partners with passionate founders to 𝗿𝗲𝗮𝗰𝗵 𝘀𝘂𝗰𝗰𝗲𝘀𝘀𝗳𝘂𝗹 𝗲𝘅𝗶𝘁𝘀 (five M&As so far).,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Associate Director of Finance and Grants at Columbia University in the City of New York,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adjunct Professor, NYU Tandon and NYU Courant",Finance,Massachusetts Institute of Technology,S.B.,Mathematics,,,"Adj prof, Math in Finance (Courant) and Finance and Risk Engineering (Tandon)",New York University,Sep 2018 – Present,3 yrs 4 mos,"New York, NY and Brooklyn, NY",Brown University,Ph.D. program (ABD),Mathematics (algebraic number theory),,,Director,"RBC Capital Markets, LLC",May 2009 – Aug 2016,7 yrs 4 mos,"New York, NY",,,,,,"Principal and Senior Trader, Banc of America Securities LLC",Bank of America,Jun 2006 – Nov 2007,1 yr 6 mos,"New York, NY",,,,,,"Consultant, Countrywide Securities",Countrywide Capital Markets,Nov 2003 – Apr 2006,2 yrs 6 mos,"Calabasas, CA and New York, NY",,,,,,Vice President,Goldman Sachs,Jul 2000 – Feb 2003,2 yrs 8 mos,"New York, NY",,,,,,,,,,,
Finance and Operations at Canvas Construction (We're Hiring!),Finance,Tufts University,BA,English,,,VP of Finance,Canvas Construction (We're Hiring!),May 2018 – Present,3 yrs 8 mos,San Francisco Bay Area,Bentley University,MBA,Accounting,,,Board Member and Director of Finance Leader Engagement,StartupExperts,Jan 2020 – Present,2 yrs,San Francisco Bay Area,,,,,,VP of Finance,MyTime,Sep 2017 – May 2018,9 mos,San Francisco Bay Area,,,,,,Head of Finance,Patreon,Aug 2016 – Sep 2017,1 yr 2 mos,San Francisco Bay Area,,,,,,Head of Finance,Kitchensurfing [Ceased Operations May 2016],Sep 2015 – Jun 2016,10 mos,"New York, New York",,,,,,,,,,,
PhD candidate in Finance and Economics,Finance,Columbia Business School,Doctor of Philosophy (Ph.D.),Finance and Economics,,,"Quantitative Researcher, Team KEPL",Cubist Systematic Strategies,May 2020 – Aug 2020,4 mos,"New York, New York, United States",Columbia University - Columbia Business School,Master’s Degree,Financial Economics,,,Summer Analyst - Fundamental Equity,BlackRock,Jun 2016 – Aug 2016,3 mos,Hong Kong,Peking University,Bachelor’s Degree,"Financial Economics, Guanghua School of Management",,CMA,FX Markets Intern,Deutsche Bank,Aug 2014 – Feb 2015,7 mos,Beijing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Founder & CEO at The Kinetic Group,Finance,Columbia Business School,MBA,Strategic Management & Finance,,,Founder & CEO,The Kinetic Group,Jan 2001 – Present,21 yrs,"New York, NY",University of Minnesota,BA,Economics & Sociology,,,Co-Founder & Managing Director,Expansion Energy LLC,Sep 2007 – Present,14 yrs 4 mos,"New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operations professional supporting sustainability oriented organizations,Finance,Columbia University in the City of New York,Master of Science (M.S.),Sustainability Management,,"SUMA Net Impact, Spring 2018 Capstone with Westport, CT","Manager, Finance and Operations",Sustainable Development Solutions Network,Mar 2018 – Present,3 yrs 10 mos,"New York, New York",Johnson and Wales University,"Bachelors of Science (B.S.), Associates of Science (A.S.)","Food Service Management, Culinary Arts",,"Oenology concentration,Internship with and Trade Exhibitor for Easy Entertaining RI LLC","Director of Communications, SUMA Net Impact Chapter",Net Impact,Jan 2016 – Dec 2016,12 mos,Greater New York City Area,Harvard Extension School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Director of Editorial Operations, WNYC Studios",Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implementer | Active Learner | Detail-oriented Person | Actuarial Science | Finance and Risk Management | Data Analysis,Finance,Columbia University in the City of New York,Master of Science - MS,Operations Research,,,Data Analyst Assistant,"Shenzhen Qianhai Data Management Consulting Co., Ltd",May 2020 – Sep 2020,5 mos,"Shenzhen, Guangdong, China",Purdue University,Bachelor of Science - BS,Actuarial Science; Applied Statistics; Management,,,Exam Procter,Columbia University in the City of New York,Oct 2019 – May 2020,8 mos,Greater New York City Area,Waubonsie Valley High School,High School Diploma,,,,Trust and Operations Intern,"China Resources SZITIC Trust Co. , Ltd.",May 2018 – Jul 2018,3 mos,"Shenzhen, Guangdong, China",,,,,,Data Collector,Purdue University,Oct 2016 – Nov 2016,2 mos,"West Lafayette, IN",,,,,,Private Rental Management Assistant,Family Owned Properties,May 2016 – Aug 2016,4 mos,"Shenzhen, Guangdong, China",,,,,,,,,,,
"Vice President, Counsel - Practice Group Head - Equipment Leasing and Finance",Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Yield Credit Analyst at New York Life Investments,Finance,University of Pennsylvania - The Wharton School,Bachelor of Science (B.S.),"Finance, Operations & Information Management, Music",,,"Director, High Yield Credit Analyst",New York Life Investments,Jun 2017 – Present,4 yrs 8 mos,"New York, New York",,,,,,Associate,Shenkman Capital Management,Dec 2013 – May 2017,3 yrs 6 mos,"New York, New York",,,,,,Investment Banking Analyst,Bank of America Merrill Lynch,Aug 2012 – Nov 2013,1 yr 4 mos,"New York, New York",,,,,,Summer Analyst,Bank of America Merrill Lynch,Jun 2011 – Aug 2011,3 mos,"New York, New York",,,,,,,,,,,,,,,,,,,,,
Financial Advisor at Northwestern Mutual,Finance,Monroe College-New Rochelle,Bachelor of Business Administration (B.B.A.),Accounting and Finance,,,Financial Advisor,Northwestern Mutual,Mar 2021 – Nov 2021,9 mos,Atlanta Metropolitan Area,Central Islip Senior Highschool,Regents Diploma,,,,Financial Advisor,Veludi,May 2019 – Jan 2021,1 yr 9 mos,,,,,,,Account Manager,Straight Line Source,Sep 2018 – Apr 2019,8 mos,"Uniondale, New York",,,,,,NYL title: Agent,New York Life Insurance Company,Jan 2018 – Sep 2018,9 mos,Rego Park Queens Area,,,,,,Tax preparer,Liberty Tax Service,Jan 2015 – Apr 2018,3 yrs 4 mos,,,,,,,,,,,,
National Sales and General Management Executive,Sales,Fordham University,,,,,US National Sales Manager:  Nude Glass,Pasabahce,Oct 2018 – Present,3 yrs 4 mos,Greater New York City Area,,,,,,National Sales Manager,French Bull,Jan 2016 – Sep 2018,2 yrs 9 mos,Greater New York City Area,,,,,,US Sales Director,Daum - Haviland,2011 – 2015,4 yrs,Greater New York City Area,,,,,,Vice President - US Subsidiary,Richard Ginori 1735,2004 – 2010,6 yrs,,,,,,,Vice President,Baccarat,Jul 1997 – Nov 2004,7 yrs 5 mos,,,,,,,,,,,,
"Assistant Director, Tourism Sales and Marketing - MoMA",Sales,Ohio University,Bachelor of Science,Journalism,,,"Assistant Director, Tourism Sales and Marketing",The Museum of Modern Art,Sep 2014 – Present,7 yrs 5 mos,Greater New York City Area,,,,,,Tourism Marketing Manager,The Metropolitan Museum of Art,Dec 2010 – Sep 2014,3 yrs 10 mos,"New York, NY",,,,,,Marketing associate,Theatre Direct/Broadway.com,Mar 2008 – Dec 2010,2 yrs 10 mos,"New York, NY",,,,,,Marketing Intern,Paul Taylor Dance Company,Sep 2007 – Mar 2008,7 mos,"New York, NY",,,,,,Copy Editor,Chautauquan Daily,Jun 2007 – Aug 2007,3 mos,,,,,,,,,,,,
SENIOR DIRECTOR OF SALES AND NEW BUSINESS DEVELOPMENT,Sales,Oklahoma State University,Bachelor of Science (BS),"Sports Management and Adminstration , Sports Medicine",,Scholarship for Baseball,Senior Director of Sales and New Business Development,Clear Choice Retail,Apr 2017 – Present,4 yrs 10 mos,"Bentonville, Arkansas",Trindad State Junior College,,"Sports Managemant, Phyiscal Education",,Scholarship For Baseball,Southeast Business Development Manager,Odds On Promotions,Aug 2016 – Apr 2017,9 mos,"Reno, Nevada Area",,,,,,Director of Recruiting and Digital Sales,Mascot Media LLC,May 2016 – Jun 2016,2 mos,"Fayetteville, Arkansas Area",,,,,,Sales Representative,E &J Solutions LLC,Aug 2015 – May 2016,10 mos,"Rogers, Arkansas",,,,,,National Account Executive,Rymax Marketing Services,Apr 2009 – Jul 2015,6 yrs 4 mos,Pine Brook  NJ,,,,,,,,,,,"Marketing Strategy,Sales Management,Sales"
Director of Sales and New Verticals,Sales,Middlebury College,Bachelor of Arts,History of Art and Architecture,,,Interim Sales Team Lead,"BCV, A RateGain Company",Oct 2021 – Present,4 mos,"New York, New York",,,,,,Director of Business Development - MICE,Shangri-La Hotels and Resorts,Dec 2014 – Jul 2017,2 yrs 8 mos,"New York, New York",,,,,,Account Manager - Meetings and Incentives,"Kerry Hotel, Beijing",Jun 2013 – Sep 2014,1 yr 4 mos,"Beijing, China",,,,,,Assistant Director of Operations,bmkCONCEPTS,Sep 2011 – Jan 2012,5 mos,Beijing,,,,,,"Supervisor, Maitre d'",Next Door Casual Dining,Aug 2010 – Dec 2010,5 mos,"Montclair, NJ",,,,,,,,,,,"Hospitality,Event Management,Hotels"
"Director, Enterprise Systems Integration at Weill Cornell Medicine, Columbia Doctors, and New York Presbyterian Hospital",Sales,,,,,,"Director, Enterprise Systems Integration","Weill Cornell Medicine, Columbia Doctors, and New York Presbyterian Hospital",May 2018 – Present,3 yrs 9 mos,"New York, New York, United States",,,,,,"Director, Enterprise Systems Integration",Weill Cornell Medicine,Jan 2018 – May 2018,5 mos,,,,,,,BUSINESS/PROGRAMMER ANALYST,MedPartners,Aug 1998 – Feb 2000,1 yr 7 mos,"Pembroke Pines, Florida",,,,,,IMPLEMENTATION/PROGRAMMER ANALYST,Interim HealthCare Inc.,Mar 1997 – Aug 1998,1 yr 6 mos,"Fort Lauderdale, Florida",,,,,,System Support Specialist,InPhynet Medical Management,Jul 1996 – Mar 1997,9 mos,"Pembroke Pines, Florida",,,,,,,,,,,
Senior Account Executive at Drop Technologies,Sales,Hofstra University,Bachelor of Arts degree,Communications,,,Senior Account Executive,Drop,Oct 2021 – Present,4 mos,New York City Metropolitan Area,St Anthony's High School,,,,,Business Development Consultant,Stories Company,Dec 2018 – Nov 2021,3 yrs,NYC,State University of New York at Oswego,Bachelor of Arts (BA),Communications,,,Director Of Business Development,HARK Connect™,Dec 2020 – Apr 2021,5 mos,New York City Metropolitan Area,,,,,,Director of Business Development,GreenBook,Feb 2014 – Jun 2018,4 yrs 5 mos,"New York, NY",,,,,,Director of Sales,Advertising Research Foundation,Jun 2005 – Dec 2013,8 yrs 7 mos,"New York, NY",,,,,,,,,,,
Assistant Director of Sales and Leasing / Playwright / Photographer,Sales,Florida Atlantic University,,,,,Assistant Director of Sales and Leasing,"Solstice Residential Group, LLC",Jun 2021 – Present,8 mos,Greater New York City Area,New World School of the Arts,,Theatre/Theater,,,Social Media / Graphic Designer / Photographer,Naughty Jewish Boys Calendar,Feb 2014 – Present,8 yrs,Greater New York City Area,,,,,,Playwright,Cross-Eyed Bear Productions,Apr 1995 – Present,26 yrs 10 mos,,,,,,,Contract Administrator/ Administrative Assistant,Columbia Artists Management,Nov 2016 – Jun 2021,4 yrs 8 mos,Greater New York City Area,,,,,,JCK Administrative Concierge,JaydenStar,Apr 2016 – Jun 2021,5 yrs 3 mos,Greater New York City Area,,,,,,,,,,,
Federal Government Contracts Attorney,Lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"International Environmental Lawyer and Principal, Beveridge & Diamond, P.C.",Lawyer,"American University, Washington College of Law",JD,Environmental Law,,Journal of International Law and Policy,Principal,"Beveridge & Diamond, P.C.",Oct 1990 – Present,31 yrs 4 mos,Washington D.C. Metro Area,Providence College,BA,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Employment, Labor & Benefits Associate at Mintz",Lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lawyer and Criminal Justice Reform Specialist,Lawyer,University of Ottawa,Master of Arts (M.A.),Criminology,,Criminology Graduate Students Association,Consultant,Organization of American States,Jan 2015 – Present,7 yrs 1 mo,Washington D.C. Metro Area,Universidade de São Paulo,Bachelor's degree,Law,,Legal clinic - Departamento Jurídico XI de Agosto; Volleyball Athletic Team; Organizing Team of graduation party,Graduate Student and Teaching Assistant,University of Ottawa,Sep 2012 – Sep 2014,2 yrs 1 mo,,,,,,,Intern,International Centre for the Prevention of Crime (ICPC),Oct 2011 – Apr 2012,7 mos,,,,,,,Lawyer,Departamento Jurídico XI de Agosto,Dec 2010 – Jul 2011,8 mos,,,,,,,Lawyer,"Podval, Antun, Indalecio Advogados Associados",Feb 2011 – Apr 2011,3 mos,,,,,,,,,,,,
Experienced Labor Lawyer and non-profit manager,Lawyer,"University of California, Berkeley - School of Law",Doctor of Law - JD,,,,Of Counsel,Solidarity Center,Sep 2017 – Present,4 yrs 5 mos,"Washington, D.C.",Harvard University,Bachelor of Arts - BA,,,,Visiting Scholar,"University of California, Berkeley Labor Center",Sep 2017 – Present,4 yrs 5 mos,,,,,,,Chief of Staff and Executive Assistant to the President,AFL-CIO,Oct 2009 – Jun 2017,7 yrs 9 mos,"Washington, D.C.",,,,,,General Counsel,Service Employees International Union (SEIU),Jan 1987 – Jan 1996,9 yrs 1 mo,"Washington, D.C.",,,,,,,,,,,,,,,,,,,,,
"J.D. Candidate, The George Washington University Law School",Lawyer,The George Washington University Law School,Doctor of Law - JD,,,"University Student Association, Student Bar Association, Asian Pacific American Law Student Association, East Asian Law Society","Executive Vice President, Student Bar Association",The George Washington University Law School,Apr 2021 – Present,10 mos,"Washington, District of Columbia, United States",New York University,Bachelor of Arts - BA,International Relations and Affairs,,"Phi Beta Kappa, New York University Model United Nations, International Relations Society at New York University, New York University Policy Case Competition",Member,International Law in Domestic Courts Journal,Jul 2020 – Present,1 yr 7 mos,"Washington, District of Columbia, United States",Waseda University,International Exchange Student,School of Political Science and Economics,,,"Chief Justice, Student Court",The George Washington University Student Association,May 2021 – Present,9 mos,"Washington, District of Columbia, United States",,,,,,"Fall Intern, Office of the Solicitor General",Office of the Attorney General for the District of Columbia,Sep 2021 – Nov 2021,3 mos,"Washington, District of Columbia, United States",,,,,,"Judicial Intern to the Honorable Jonathan Biran, Court of Appeals of Maryland",Maryland Judiciary,May 2021 – Aug 2021,4 mos,"Annapolis, Maryland, United States",,,,,,,,,,,
"Senior Advisor, Civilian Harm Mitigation at Defense Security Cooperation Agency; USAF veteran and lawyer",Lawyer,Harvard Law School,Juris Doctor,Public International Law and National Security Law,,"Research Assistant for Harvard Law Program on International Law and Armed Conflict; Co-President Armed Forces Association; Harvard Graduate Student Leadership Institute; Pfoho House non-resident fellow; Advocates for Human Rights; Human Rights Clinic (field mission to Ukraine); Clara Barton moot court, 2nd place; Pictet IHL moot court semi-finalist.",Flight Commander,US Air Force Reserve,Mar 2021 – Present,11 mos,,Yale University,Master of Global Affairs,Conflict Resolution and Reconstruction,,,"Senior Advisor, Civilian Harm Mitigation",Defense Security Cooperation Agency,May 2019 – Present,2 yrs 9 mos,,University of Pennsylvania,BA,"International Relations, Psychology, Political Science",,,Term Member,Council on Foreign Relations,Jun 2021 – Present,8 mos,"Washington, District of Columbia, United States",,,,,,Next Generation National Security Fellow,Center for a New American Security (CNAS),Mar 2021 – Present,11 mos,,,,,,,Truman National Security Project Fellow,Truman National Security Project,Dec 2016 – Present,5 yrs 2 mos,,,,,,,,,,,,
"Partner, Cashdan & Kane PLLC",Lawyer,University of Michigan Law School,J.D.,,,,Board of Governors,College of Labor and Employment Lawyers,Jan 2015 – Present,7 yrs 1 mo,Annapolis MD,Oberlin College,B.A. Government,"Government, Economics",,Mock Convention (platform Chairman for the State of Alabama in mock presidential convention for the out of office party which at the time was the Democratic Party.,Partner,Cashdan & Kane PLLC,,,,Southwest High School,,,,,Partner,Cashdan & Kane PLLC,Jan 2000 – Present,22 yrs 1 mo,,,,,,,Board Member,National Employment Lawyers Association,2002 – 2014,12 yrs,,,,,,,,,,,,,,,,,,,,,,
"Employment, Whistleblower, and Civil Rights Lawyer",Lawyer,Howard University School of Law,JD,,,,Managing Principal,"The Employment Law Group, P.C.",2002 – Present,20 yrs,,University of Virginia,B.A.,Economics,,,,,,,,Sidwell Friends School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Director and Lawyer,Lawyer,Stanford University Law School,Juris Doctor (J.D.),,,,Director,Natural Resources Defense Council (NRDC),2007 – Present,15 yrs,Washington D.C. Metro Area,Yale University,Bachelor's Degree,,,,Associate,Powell Goldstein LLP,1991 – 1993,2 yrs,Washington D.C. Metro Area,,,,,,Judicial Law Clerk,Alaska Supreme Court,1990 – 1991,1 yr,"Anchorage, Alaska",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
