Headline,Industry,College-Name-1,Degree-Name-1,Field-Of-Study-1,Activities-and-Societies-1,Activities-and-Societies--1,Job-Title-1,Company-Name-1,Dates-Employed-1,Employment-Duration-1,Location-1,College-Name-2,Degree-Name-2,Field-Of-Study-2,Activities-and-Societies-2,Activities-and-Societies--2,Job-Title-2,Company-Name-2,Dates-Employed-2,Employment-Duration-2,Location-2,College-Name-3,Degree-Name-3,Field-Of-Study-3,Activities-and-Societies-3,Activities-and-Societies--3,Job-Title-3,Company-Name-3,Dates-Employed-3,Employment-Duration-3,Location-3,College-Name-4,Degree-Name-4,Field-Of-Study-4,Activities-and-Societies-4,Activities-and-Societies--4,Job-Title-4,Company-Name-4,Dates-Employed-4,Employment-Duration-4,Location-4,College-Name-5,Degree-Name-5,Field-Of-Study-5,Activities-and-Societies-5,Activities-and-Societies--5,Job-Title-5,Company-Name-5,Dates-Employed-5,Employment-Duration-5,Location-5,College-Name-6,Degree-Name-6,Field-Of-Study-6,Activities-and-Societies-6,Activities-and-Societies--6,Job-Title-6,Company-Name-6,Dates-Employed-6,Employment-Duration-6,Location-6,skills
Management Consultant with Deep Banking and Capital Markets Experience,Business,Fordham Gabelli School of Business,MBA,Finance,,,LIBOR Transition Lead  – Global Technology Team,Citi,Apr 2021 – Present,7 mos,"New York, New York",University of Scranton,BS,Business Administration,,,Management Consultant - Rates Trading Group,MUFG,Nov 2020 – Mar 2021,5 mos,"New York, NY",,,,,,LIBOR Transition Lead – Retail Banking and Consumer Lending Group,HSBC,Jul 2019 – Jul 2020,1 yr 1 mo,"New York, NY",,,,,,Transformation and Program Management Group,BNY Mellon,2018 – 2019,1 yr,"New York, NY",,,,,,Global Change Management Group,MUFG Securities,2017 – 2018,1 yr,"New York, NY",,,,,,,,,,,
Business Analyst at McKinsey & Company,Business,University of Pennsylvania,Bachelor of Arts - BA,"Politics, Philosophy and Economics; Minor in HIstory",,"MUSE Consulting, Penn Debate Society, UPenn Students Federal Credit Union, Phi Chi Theta Business Fraternity, Gryphon Senior Society",Business Analyst,McKinsey & Company,Jul 2021 – Present,4 mos,San Francisco Bay Area,The Wharton School,,Minor in Legal Studies & History,,,Co-Founder and New Member Coordinator,Phi Chi Theta Business Fraternity,Oct 2018 – Present,3 yrs 1 mo,Greater Philadelphia Area,UWC South East Asia,International Baccalaureate,,,"President of UWC Debate,  Model United Nations, College Shop E-Commerce Department, Ummeed Fundraising Group, volunteer at Riding for the Disabled Singapore, Boys U19 Field Hockey Team",Associate Consultant Intern,Mastercard Data & Services,Jun 2020 – Jul 2020,2 mos,Washington D.C. Metro Area,,,,,,Assistant Director of Collections and Lending,Student Federal Credit Union at the University of Pennsylvania,Feb 2018 – Aug 2019,1 yr 7 mos,"Philadelphia, Pennsylvania",,,,,,"Management Consulting Intern, Customer & Operations",KPMG,May 2019 – Jul 2019,3 mos,India,,,,,,,,,,,
Senior Information Technology Professional | IT Strategist | Program Manager,Business,Fairfield University,Bachelor’s Degree,Computer Science,,,Principal Consultant,"Kelley Consulting Services, Inc.",Oct 2017 – Present,4 yrs 1 mo,"New York, NY",,,,,,Senior Consultant,QuintilesIMS,Oct 2016 – Oct 2017,1 yr 1 mo,"Plymouth Meeting, PA",,,,,,"Head, Business Computing Systems Division",Princeton Plasma Physics Lab,2009 – Sep 2016,7 yrs,"Princeton, NJ",,,,,,Project Manager,"M&O Systems, Inc.",2008 – 2009,1 yr,"New York, NY",,,,,,Sr. Consultant,The College Board,2008,less than a year,"New York, NY",,,,,,,,,,,
"Business Analyst at Chegg Inc. | Digital advertising nerd | 2 Masters and BA/BI experience | R, Python, SQL, Tableau & Excel",Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Analyst at McKinsey & Company,Business,Cornell University,Bachelor of Science (B.S.),"Charles H. Dyson School of Applied Economics and Management, Class of 2019",,Cornell Consulting Group - Director of ConsultingHotel Ezra Cornell - Wines Team Member and ServerPhi Sigma Sigma Sorority - PresidentLet's Get Coffee - Spring Admit Representative/E-board MemberCornell Hedge Fund Club - Former Associate,Business Analyst,McKinsey & Company,Sep 2019 – Present,2 yrs 2 mos,Greater New York City Area,Ridge High School,,,,"Forensics (Speech and Debate Team), Ethics Club, Co-Caption and Varsity Member Gymnastics Team, Secretary Autism Acceptance Club.",Summer Business Analyst,McKinsey & Company,Jun 2018 – Aug 2018,3 mos,,,,,,,Business Development Intern,C. R. Bard,Jun 2017 – Aug 2017,3 mos,"Murray Hill, NJ",,,,,,Social Business Consulting Intern,Mayor Potencial,Mar 2016 – Dec 2016,10 mos,"El Rodeito, Honduras",,,,,,Intern,"The Earth Institute, Columbia University",Jul 2014 – Aug 2014,2 mos,"New York, New York",,,,,,,,,,,
Business and data analyst,Business,Western Governors University,Master of Science - MS,Data Analytics,,,Business and data analyst,Napoleon IT,Dec 2018 – Present,2 yrs 11 mos,"NY, NY",Villanova University,Professional Certificate,Business Analysis,,Master Certificate in Business Analysis.,Business & Data Intelligence Analyst,InterPros Consulting for Innova Care Health,Jul 2018 – Oct 2018,4 mos,Remote,"The Graduate Center, City University of New York",BS,International Marketing and Computer Systems,,,Hands on Training Program,Cognizant,Mar 2018 – Jun 2018,4 mos,"Bronx, NY",,,,,,Senior Busines  Analyst,United Healthcare Medicare Solutions,Mar 2017 – Dec 2017,10 mos,New York City -  Remote Position,,,,,,Business Systems Analyst,"SE2, LLC",May 2016 – Dec 2016,8 mos,"Bridgewater, NJ",,,,,,,,,,,
"Business Analyst - McKinsey & Company 
| Incoming MBA Candidate - Deferred Admission Stanford GSB",Business,Stanford University Graduate School of Business,Incoming MBA Candidate - Deferred Admission,,,,Business Analyst,McKinsey & Company,Oct 2020 – Present,1 yr 1 mo,Greater Boston Area,Rutgers University-New Brunswick,Bachelor of Science - BS,Health/Health Care Administration/Management,,Honors College,Portfolio and Capability Management Co-Op,Johnson & Johnson,Jan 2020 – Oct 2020,10 mos,"Skillman, NJ",Fort Lee High School,"High School Diploma, International Baccalaureate",,,"Founder of Unplugged Club, Participant in Theatre and Chorus",Personal Trainer,24 Hour Fitness,Jun 2018 – Jun 2019,1 yr 1 mo,"Englewood Cliffs, NJ",,,,,,Course Creator,Productivity Despite Distractions,Dec 2017 – Jun 2018,7 mos,"New Brunswick, NJ",,,,,,Presenter,Elevate Education,May 2017 – Mar 2018,11 mos,"Hoboken, NJ",,,,,,,,,,,
"Business Development Intern at Choose New Jersey, Inc.",Business,Princeton University,Bachelor's degree,Princeton School of Public and International Affairs,,"Davis Scholar, Residential Butler College council Co-Chair of Community Building, Ultimate Disc Social Chair, International Leader for International Orientation.",Data and Business Analyst,TenMAS,Sep 2020 – Present,1 yr 2 mos,"Monterrey, Nuevo León, Mexico",The Lawrenceville School,High School Diploma,,,"Davis Scholar, Lawrentians school choir, Larries co-ed acapella group, The Contour online publication managing editor, Kennedy House Prefect, Ultimate disc, Mario Award 2017 recipient",Business Development Intern,"Choose New Jersey, Inc.",Feb 2021 – May 2021,4 mos,"Newark, New Jersey, United States",,,,,,"Founder, Co-host, Producer",Efecto Domino Podcast,Jun 2020 – Dec 2020,7 mos,,,,,,,Vice President,Princeton University Undergraduate Student Government,Feb 2020 – Sep 2020,8 mos,"Princeton, New Jersey, United States",,,,,,International Student Leader,Davis International Center at Princeton University,Feb 2019 – Sep 2020,1 yr 8 mos,,,,,,,,,,,,
Business Analyst at Cartier,Business,Columbia University in the City of New York,Bachelor of Arts,Economics,,"Kappa Phi Lambda, Multicultural Greek Council",Business Analyst,Cartier,Aug 2021 – Present,3 mos,New York City Metropolitan Area,Noble and Greenough School,High School Diploma,,,"Yearbook, Asian 2 Asian, Asian Culture Club, Crew/Rowing",Associate Planner,Proenza Schouler,Apr 2021 – Aug 2021,5 mos,New York City Metropolitan Area,,,,,,Assistant Merchandiser - Womenswear,Burberry,Oct 2020 – Apr 2021,7 mos,New York City Metropolitan Area,,,,,,Associate Merchandiser - Men's & Children's Licensing,Ralph Lauren,Aug 2016 – Apr 2017,9 mos,New York City Metropolitan Area,,,,,,Merchandising & Planning Intern,Ralph Lauren,Jun 2014 – Aug 2014,3 mos,New York City Metropolitan Area,,,,,,,,,,,
Software Engineer,Software Engineer,Old Dominion University,Bachelor of Science (B.S.),Computer Science,,Honors College,Site Reliability Engineer,New York City Cyber Command,Nov 2019 – Present,2 yrs,"New York, United States",,,,,,Founder,hyperdrive,Oct 2019 – Present,2 yrs 1 mo,"New York, United States",,,,,,Software Engineer,Cloudreach,Jan 2018 – Oct 2019,1 yr 10 mos,"New York, United States",,,,,,Software Engineer,Homes.com,May 2017 – Dec 2017,8 mos,"Norfolk, Virginia Area",,,,,,Recurser,Recurse Center,Nov 2016 – Feb 2017,4 mos,New York City,,,,,,,,,,,
